batting_team,bowling_team,venue,target_score,current_score,overs_left,wickets_left,winner
Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,209,37,13.8,3,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Narendra Modi Stadium,204,110,14.3,5,1
Royal Challengers Bangalore,Sunrisers Hyderabad,MA Chidambaram Stadium,194,91,12.2,5,0
Rajasthan Royals,Sunrisers Hyderabad,Wankhede Stadium,150,38,7.4,8,0
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,172,150,17.1,5,1
Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,173,11,9.2,9,0
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,200,38,15.1,9,0
Mumbai Indians,Punjab Kings,Narendra Modi Stadium,137,52,1.6,3,0
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,157,84,4.4,10,0
Kolkata Knight Riders,Rajasthan Royals,Feroz Shah Kotla,151,109,14.3,0,1
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,214,47,4.1,7,0
Punjab Kings,Delhi Capitals,Wankhede Stadium,195,77,4.8,6,0
Sunrisers Hyderabad,Delhi Capitals,M. Chinnaswamy Stadium,198,193,9.8,3,1
Punjab Kings,Kolkata Knight Riders,Wankhede Stadium,199,191,3.8,4,1
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,147,120,2.4,2,0
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,200,143,3.5,6,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,151,131,15.5,4,1
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,195,109,10.9,3,0
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,185,117,4.2,0,0
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,142,116,16.9,0,1
Kolkata Knight Riders,Rajasthan Royals,MA Chidambaram Stadium,131,33,13.1,5,0
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,145,51,10.2,1,0
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,153,72,5.4,2,0
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,213,12,17.0,0,0
Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,159,86,12.9,3,0
Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,185,62,17.0,2,0
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,123,122,11.6,5,1
Punjab Kings,Chennai Super Kings,Narendra Modi Stadium,200,186,8.9,2,1
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,195,131,6.0,2,0
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,145,23,17.1,3,0
Punjab Kings,Rajasthan Royals,Wankhede Stadium,145,80,12.3,4,1
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,200,87,0.6,2,0
Chennai Super Kings,Mumbai Indians,Eden Gardens,204,49,5.2,1,0
Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,121,76,15.0,9,1
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,163,159,7.7,3,1
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,187,85,15.7,5,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,162,4,3.9,10,0
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,197,13,9.5,5,0
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,171,30,19.1,2,0
Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla,173,24,17.6,8,0
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,147,143,18.5,5,1
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,220,3,8.9,5,0
Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,158,83,2.1,3,0
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,149,63,10.8,3,0
Punjab Kings,Rajasthan Royals,Eden Gardens,216,214,1.1,7,1
Chennai Super Kings,Mumbai Indians,Eden Gardens,187,17,17.8,3,0
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,209,36,3.1,9,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Eden Gardens,189,154,4.4,8,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,219,182,4.5,9,1
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,204,114,1.7,7,0
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,164,36,4.5,5,0
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,203,94,11.0,8,1
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,140,83,14.2,8,1
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,144,63,10.0,8,1
Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,130,113,0.5,9,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,214,151,4.8,3,0
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,211,193,12.5,0,1
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,128,55,10.9,2,0
Sunrisers Hyderabad,Delhi Capitals,Feroz Shah Kotla,193,26,11.9,9,0
Punjab Kings,Rajasthan Royals,Narendra Modi Stadium,168,161,12.6,7,1
Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,193,162,15.7,7,1
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,140,114,8.2,4,1
Punjab Kings,Kolkata Knight Riders,Wankhede Stadium,129,110,18.8,6,1
Chennai Super Kings,Rajasthan Royals,M. Chinnaswamy Stadium,167,113,16.9,1,1
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,125,100,14.4,3,1
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,158,10,5.1,3,0
Mumbai Indians,Punjab Kings,Narendra Modi Stadium,192,174,10.1,8,1
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,158,23,11.7,7,0
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,197,126,15.2,10,1
Kolkata Knight Riders,Delhi Capitals,MA Chidambaram Stadium,120,16,6.4,4,0
Mumbai Indians,Chennai Super Kings,Eden Gardens,122,45,9.2,5,0
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,177,147,18.6,3,1
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,217,124,8.0,1,0
Kolkata Knight Riders,Mumbai Indians,MA Chidambaram Stadium,124,37,16.5,6,1
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,196,12,1.5,7,0
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,176,11,4.1,9,0
Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,202,184,19.1,10,1
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,149,0,19.8,5,0
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,146,4,6.3,4,0
Rajasthan Royals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,196,183,4.7,10,1
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,195,3,15.3,9,0
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,198,176,18.8,3,1
Punjab Kings,Rajasthan Royals,Narendra Modi Stadium,151,116,9.5,6,1
Punjab Kings,Chennai Super Kings,MA Chidambaram Stadium,144,75,17.2,1,0
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,149,42,9.6,9,0
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,186,173,13.9,0,1
Sunrisers Hyderabad,Delhi Capitals,Narendra Modi Stadium,199,162,17.8,0,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,184,22,16.5,5,0
Delhi Capitals,Punjab Kings,MA Chidambaram Stadium,208,197,11.7,5,1
Punjab Kings,Chennai Super Kings,Wankhede Stadium,195,88,6.1,2,0
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,164,140,12.4,6,1
Delhi Capitals,Punjab Kings,Feroz Shah Kotla,156,69,8.6,1,0
Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,209,29,1.7,10,0
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,159,124,5.5,7,1
Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,165,0,19.1,8,0
Punjab Kings,Delhi Capitals,MA Chidambaram Stadium,217,10,11.8,6,0
Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,198,195,15.5,7,1
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,199,193,15.1,10,1
Mumbai Indians,Rajasthan Royals,Feroz Shah Kotla,218,93,7.5,3,0
Chennai Super Kings,Rajasthan Royals,M. Chinnaswamy Stadium,193,157,8.3,1,1
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,131,23,8.2,10,0
Kolkata Knight Riders,Punjab Kings,MA Chidambaram Stadium,150,117,3.8,5,1
Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,141,51,15.7,10,1
Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,201,116,13.5,4,1
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,167,119,13.1,4,1
Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla,164,8,1.6,2,0
Punjab Kings,Rajasthan Royals,Wankhede Stadium,211,147,19.1,10,1
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,181,27,1.6,1,0
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,137,19,8.3,8,0
Sunrisers Hyderabad,Kolkata Knight Riders,MA Chidambaram Stadium,131,30,12.3,2,0
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,161,85,15.5,7,1
Rajasthan Royals,Chennai Super Kings,Eden Gardens,168,132,3.6,5,1
Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,162,80,6.2,10,1
Punjab Kings,Kolkata Knight Riders,Eden Gardens,170,48,0.7,8,0
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,184,104,0.5,7,0
Punjab Kings,Kolkata Knight Riders,MA Chidambaram Stadium,201,98,6.3,7,0
Punjab Kings,Sunrisers Hyderabad,Feroz Shah Kotla,129,116,7.5,10,1
Delhi Capitals,Rajasthan Royals,Wankhede Stadium,128,3,2.2,1,0
Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,143,49,15.9,0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,138,75,2.7,2,0
Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,122,97,8.8,0,1
Mumbai Indians,Kolkata Knight Riders,Feroz Shah Kotla,205,26,9.7,3,0
Mumbai Indians,Delhi Capitals,Eden Gardens,205,121,4.0,4,0
Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,148,26,18.6,8,1
Punjab Kings,Chennai Super Kings,Feroz Shah Kotla,213,95,9.3,4,0
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,133,44,16.4,5,0
Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,162,57,0.3,0,0
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,160,6,17.7,8,0
Delhi Capitals,Kolkata Knight Riders,Narendra Modi Stadium,129,4,14.5,10,0
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,157,7,2.6,2,0
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,177,75,18.6,4,0
Kolkata Knight Riders,Rajasthan Royals,MA Chidambaram Stadium,219,154,1.3,4,0
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,178,51,10.0,7,0
Kolkata Knight Riders,Punjab Kings,Narendra Modi Stadium,177,17,14.7,10,0
Kolkata Knight Riders,Delhi Capitals,MA Chidambaram Stadium,212,167,2.1,2,0
Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,135,42,2.5,1,0
Delhi Capitals,Mumbai Indians,Eden Gardens,168,84,0.2,1,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,177,58,4.8,2,0
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,194,144,15.3,3,1
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,166,7,14.2,1,0
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,165,137,2.2,5,0
Chennai Super Kings,Punjab Kings,Feroz Shah Kotla,172,133,2.0,7,0
Kolkata Knight Riders,Sunrisers Hyderabad,MA Chidambaram Stadium,124,7,4.9,10,0
Chennai Super Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,153,17,14.9,9,0
Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,145,0,3.9,0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,MA Chidambaram Stadium,215,108,8.7,0,0
Punjab Kings,Royal Challengers Bangalore,Eden Gardens,131,118,6.8,10,1
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,198,156,16.1,2,1
Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,182,161,6.1,6,1
Punjab Kings,Royal Challengers Bangalore,Eden Gardens,184,0,5.9,10,0
Chennai Super Kings,Punjab Kings,Eden Gardens,178,108,19.2,5,1
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,148,122,18.9,1,1
Delhi Capitals,Punjab Kings,Feroz Shah Kotla,139,30,7.3,6,0
Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,204,50,17.8,4,0
Punjab Kings,Royal Challengers Bangalore,Feroz Shah Kotla,146,4,13.5,6,0
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,205,87,9.2,10,1
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,179,145,18.4,5,1
Delhi Capitals,Mumbai Indians,Wankhede Stadium,120,54,4.4,8,0
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,208,141,15.3,3,1
Punjab Kings,Sunrisers Hyderabad,Feroz Shah Kotla,179,47,6.6,0,0
Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,136,104,14.9,1,1
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,195,30,0.4,10,0
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,127,39,13.9,5,0
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,154,66,4.2,9,0
Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,143,101,10.2,10,1
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,141,85,9.7,7,1
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,205,30,18.4,4,0
Chennai Super Kings,Mumbai Indians,M. Chinnaswamy Stadium,139,131,18.3,3,1
Sunrisers Hyderabad,Punjab Kings,Feroz Shah Kotla,190,18,11.9,6,0
Rajasthan Royals,Delhi Capitals,Eden Gardens,131,50,11.6,4,0
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,161,103,5.5,5,0
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,155,99,16.7,8,1
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,205,38,16.8,10,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,170,114,4.2,7,0
Kolkata Knight Riders,Royal Challengers Bangalore,Feroz Shah Kotla,206,137,17.8,10,1
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,163,61,6.1,6,0
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,140,86,2.8,6,0
Chennai Super Kings,Mumbai Indians,Eden Gardens,150,141,13.8,9,1
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,215,116,13.5,2,0
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,190,45,6.1,8,0
Chennai Super Kings,Delhi Capitals,Eden Gardens,168,6,0.9,5,0
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,171,141,6.5,7,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,167,67,17.3,3,0
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,194,7,3.2,2,0
Delhi Capitals,Punjab Kings,Wankhede Stadium,145,31,2.6,6,0
Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla,157,149,15.8,2,1
Kolkata Knight Riders,Punjab Kings,Eden Gardens,171,102,4.7,4,0
Delhi Capitals,Punjab Kings,Eden Gardens,158,110,19.1,9,1
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,131,8,8.1,10,0
Kolkata Knight Riders,Rajasthan Royals,Feroz Shah Kotla,127,98,1.6,5,0
Punjab Kings,Mumbai Indians,Wankhede Stadium,214,7,19.6,10,0
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,134,81,11.4,4,1
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,206,142,14.1,9,1
Chennai Super Kings,Royal Challengers Bangalore,Feroz Shah Kotla,152,66,11.6,10,1
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,154,60,12.8,3,0
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,208,173,5.1,4,1
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,190,102,3.3,7,0
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,180,124,1.1,7,0
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,195,40,15.5,2,0
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,188,40,16.6,4,0
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,208,52,2.6,3,0
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,174,174,11.2,2,1
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,187,57,19.7,8,1
Rajasthan Royals,Mumbai Indians,Eden Gardens,188,28,17.4,10,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Narendra Modi Stadium,165,52,8.0,3,0
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,180,84,6.0,8,0
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,148,107,19.8,7,1
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,169,66,17.2,8,1
Royal Challengers Bangalore,Punjab Kings,MA Chidambaram Stadium,139,11,9.9,1,0
Delhi Capitals,Kolkata Knight Riders,MA Chidambaram Stadium,214,155,14.7,3,1
Punjab Kings,Chennai Super Kings,MA Chidambaram Stadium,154,40,17.7,9,1
Kolkata Knight Riders,Chennai Super Kings,Feroz Shah Kotla,203,119,4.7,7,0
Kolkata Knight Riders,Chennai Super Kings,Feroz Shah Kotla,210,92,4.5,3,0
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,206,196,19.2,6,1
Delhi Capitals,Chennai Super Kings,MA Chidambaram Stadium,164,116,18.6,7,1
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,135,76,17.4,5,1
Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,135,43,15.6,0,0
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,164,115,2.7,9,0
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,204,104,13.3,10,1
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,141,136,7.4,6,1
Punjab Kings,Delhi Capitals,Wankhede Stadium,191,61,8.6,7,0
Mumbai Indians,Delhi Capitals,Eden Gardens,183,69,2.2,9,0
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,187,148,7.7,2,1
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,133,43,13.1,6,0
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,171,13,17.4,6,0
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,199,30,10.9,7,0
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,141,65,15.5,8,1
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,121,8,10.6,1,0
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,186,13,5.7,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,165,113,19.0,10,1
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,151,85,11.0,1,0
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,129,8,14.4,4,0
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,147,39,7.1,4,0
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,196,81,4.0,4,0
Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla,219,160,11.2,9,1
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,123,92,3.2,9,1
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,169,139,8.3,9,1
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,171,103,4.6,6,0
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,139,74,15.1,8,1
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,205,196,14.7,2,1
Punjab Kings,Rajasthan Royals,MA Chidambaram Stadium,149,118,9.0,3,1
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,156,48,17.2,3,0
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,127,93,16.5,5,1
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,165,55,3.3,3,0
Mumbai Indians,Rajasthan Royals,Eden Gardens,125,117,15.8,10,1
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,162,109,19.2,4,1
Punjab Kings,Rajasthan Royals,Eden Gardens,144,45,1.9,1,0
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,193,1,17.1,1,0
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,209,32,19.3,6,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,218,76,15.3,3,0
Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,220,203,1.2,6,1
Punjab Kings,Mumbai Indians,Wankhede Stadium,148,61,10.0,5,0
Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,169,52,9.9,3,0
Royal Challengers Bangalore,Kolkata Knight Riders,Feroz Shah Kotla,191,11,18.0,10,0
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,211,87,12.3,9,1
Kolkata Knight Riders,Punjab Kings,Narendra Modi Stadium,136,96,7.1,10,1
Punjab Kings,Delhi Capitals,Eden Gardens,128,59,4.7,9,0
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,130,100,5.9,6,1
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,197,6,6.3,8,0
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,195,29,19.5,5,0
Chennai Super Kings,Delhi Capitals,Wankhede Stadium,163,26,17.1,9,1
Kolkata Knight Riders,Punjab Kings,MA Chidambaram Stadium,191,128,0.3,5,0
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,147,135,19.0,10,1
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,219,178,1.3,9,0
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,162,16,10.8,4,0
Delhi Capitals,Punjab Kings,Feroz Shah Kotla,124,58,4.5,0,0
Kolkata Knight Riders,Delhi Capitals,M. Chinnaswamy Stadium,217,149,7.1,7,1
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,120,0,13.9,4,0
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,133,27,4.7,10,0
Punjab Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,168,92,16.8,1,0
Mumbai Indians,Kolkata Knight Riders,MA Chidambaram Stadium,176,25,16.1,8,0
Punjab Kings,Delhi Capitals,Wankhede Stadium,134,44,1.7,6,0
Royal Challengers Bangalore,Punjab Kings,Eden Gardens,141,87,17.4,6,1
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,175,137,1.8,2,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Wankhede Stadium,141,18,5.9,9,0
Kolkata Knight Riders,Chennai Super Kings,Feroz Shah Kotla,173,107,6.1,6,0
Royal Challengers Bangalore,Mumbai Indians,MA Chidambaram Stadium,185,38,15.6,5,0
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,219,12,4.0,3,0
Sunrisers Hyderabad,Chennai Super Kings,Feroz Shah Kotla,218,66,13.8,3,0
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,122,114,16.0,10,1
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,175,51,3.3,3,0
Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,206,182,12.9,2,1
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,217,46,11.0,9,0
Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,184,165,13.8,7,1
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,155,155,3.1,1,1
Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,129,105,13.1,10,1
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,175,1,13.1,4,0
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,145,78,14.2,8,1
Delhi Capitals,Punjab Kings,Eden Gardens,132,1,16.7,6,0
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,135,135,15.1,9,1
Mumbai Indians,Delhi Capitals,Eden Gardens,213,139,15.5,6,1
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,165,119,9.5,8,1
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,132,74,12.8,0,0
Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,202,110,1.5,9,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Eden Gardens,211,87,15.1,3,0
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,137,17,0.6,0,0
Delhi Capitals,Punjab Kings,Feroz Shah Kotla,173,49,1.3,0,0
Rajasthan Royals,Delhi Capitals,Eden Gardens,139,10,1.2,2,0
Rajasthan Royals,Mumbai Indians,Narendra Modi Stadium,219,167,3.8,0,0
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,125,21,13.0,2,0
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,195,195,4.9,4,1
Punjab Kings,Rajasthan Royals,Feroz Shah Kotla,168,147,19.8,2,1
Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,120,35,7.1,0,0
Delhi Capitals,Rajasthan Royals,MA Chidambaram Stadium,125,83,9.7,4,1
Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla,164,159,1.4,10,1
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,185,180,14.8,0,1
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,162,86,18.6,5,1
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,178,90,5.4,9,0
Punjab Kings,Chennai Super Kings,Feroz Shah Kotla,165,30,15.9,2,0
Punjab Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,157,13,16.2,9,0
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,202,44,6.5,4,0
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,144,2,13.0,3,0
Delhi Capitals,Rajasthan Royals,MA Chidambaram Stadium,187,47,8.1,4,0
Chennai Super Kings,Rajasthan Royals,Eden Gardens,200,169,16.2,6,1
